timestamp,symbol,side,quantity,price,gross_value,costs,net_cash_delta,reason
2026-06-01,INFY.NS,BUY,17,1175.41125,19981.991250000003,1.3469061021975002,-19983.3381561022,signal_entry
2026-06-16,INFY.NS,SELL,17,1136.5021094055176,19320.5358598938,5.552837929348638,19314.98302196445,signal_exit
