timestamp,symbol,cash,position,close,equity,target_position
2026-03-24,INFY.NS,100000.0,0,1278.300048828125,100000.0,0.0
2026-03-25,INFY.NS,100000.0,0,1279.0999755859375,100000.0,0.0
2026-03-27,INFY.NS,100000.0,0,1269.699951171875,100000.0,0.0
2026-03-30,INFY.NS,100000.0,0,1250.5999755859375,100000.0,0.0
2026-04-01,INFY.NS,100000.0,0,1275.699951171875,100000.0,0.0
2026-04-02,INFY.NS,100000.0,0,1300.800048828125,100000.0,0.0
2026-04-06,INFY.NS,100000.0,0,1306.199951171875,100000.0,0.0
2026-04-07,INFY.NS,100000.0,0,1339.4000244140625,100000.0,0.0
2026-04-08,INFY.NS,100000.0,0,1346.199951171875,100000.0,0.0
2026-04-09,INFY.NS,100000.0,0,1331.5999755859375,100000.0,0.0
2026-04-10,INFY.NS,100000.0,0,1292.5,100000.0,0.0
2026-04-13,INFY.NS,100000.0,0,1276.800048828125,100000.0,0.0
2026-04-15,INFY.NS,100000.0,0,1305.300048828125,100000.0,0.0
2026-04-16,INFY.NS,100000.0,0,1319.199951171875,100000.0,0.0
2026-04-17,INFY.NS,100000.0,0,1318.699951171875,100000.0,0.0
2026-04-20,INFY.NS,100000.0,0,1312.5999755859375,100000.0,0.0
2026-04-21,INFY.NS,100000.0,0,1313.199951171875,100000.0,0.0
2026-04-22,INFY.NS,100000.0,0,1268.5999755859375,100000.0,0.0
2026-04-23,INFY.NS,100000.0,0,1240.5999755859375,100000.0,0.0
2026-04-24,INFY.NS,100000.0,0,1154.5999755859375,100000.0,0.0
2026-04-27,INFY.NS,100000.0,0,1170.300048828125,100000.0,0.0
2026-04-28,INFY.NS,100000.0,0,1152.0999755859375,100000.0,0.0
2026-04-29,INFY.NS,100000.0,0,1167.5,100000.0,0.0
2026-04-30,INFY.NS,100000.0,0,1181.800048828125,100000.0,0.0
2026-05-01,INFY.NS,100000.0,0,1181.800048828125,100000.0,0.0
2026-05-04,INFY.NS,100000.0,0,1168.4000244140625,100000.0,0.0
2026-05-05,INFY.NS,100000.0,0,1178.0999755859375,100000.0,0.0
2026-05-06,INFY.NS,100000.0,0,1167.199951171875,100000.0,0.0
2026-05-07,INFY.NS,100000.0,0,1162.699951171875,100000.0,0.0
2026-05-08,INFY.NS,100000.0,0,1179.199951171875,100000.0,0.0
2026-05-11,INFY.NS,100000.0,0,1177.0,100000.0,0.0
2026-05-12,INFY.NS,100000.0,0,1140.300048828125,100000.0,0.0
2026-05-13,INFY.NS,100000.0,0,1123.0999755859375,100000.0,0.0
2026-05-14,INFY.NS,100000.0,0,1095.0,100000.0,0.0
2026-05-15,INFY.NS,100000.0,0,1119.0,100000.0,0.0
2026-05-18,INFY.NS,100000.0,0,1142.5,100000.0,0.0
2026-05-19,INFY.NS,100000.0,0,1196.9000244140625,100000.0,0.0
2026-05-20,INFY.NS,100000.0,0,1193.699951171875,100000.0,0.0
2026-05-21,INFY.NS,100000.0,0,1181.199951171875,100000.0,0.0
2026-05-22,INFY.NS,100000.0,0,1174.5,100000.0,0.0
2026-05-25,INFY.NS,100000.0,0,1168.5,100000.0,0.0
2026-05-26,INFY.NS,100000.0,0,1167.699951171875,100000.0,0.0
2026-05-27,INFY.NS,100000.0,0,1159.9000244140625,100000.0,0.0
2026-05-28,INFY.NS,100000.0,0,1159.9000244140625,100000.0,0.0
2026-05-29,INFY.NS,100000.0,0,1160.9000244140625,100000.0,0.0
2026-06-01,INFY.NS,80016.6618438978,17,1202.5,100459.1618438978,1.0
2026-06-02,INFY.NS,80016.6618438978,17,1270.800048828125,101620.26267397593,1.0
2026-06-03,INFY.NS,80016.6618438978,17,1222.5999755859375,100800.86142885874,1.0
2026-06-04,INFY.NS,80016.6618438978,17,1201.300048828125,100438.76267397593,1.0
2026-06-05,INFY.NS,80016.6618438978,17,1197.5,100374.1618438978,1.0
2026-06-08,INFY.NS,80016.6618438978,17,1187.5999755859375,100205.86142885874,1.0
2026-06-09,INFY.NS,80016.6618438978,17,1180.300048828125,100081.76267397593,1.0
2026-06-10,INFY.NS,80016.6618438978,17,1145.300048828125,99486.76267397593,1.0
2026-06-11,INFY.NS,80016.6618438978,17,1114.5999755859375,98964.86142885874,1.0
2026-06-12,INFY.NS,80016.6618438978,17,1116.4000244140625,98995.46225893687,1.0
2026-06-15,INFY.NS,80016.6618438978,17,1134.9000244140625,99309.96225893687,1.0
2026-06-16,INFY.NS,99331.64486586225,0,1143.5999755859375,99331.64486586225,0.0
2026-06-17,INFY.NS,99331.64486586225,0,1157.699951171875,99331.64486586225,0.0
2026-06-18,INFY.NS,99331.64486586225,0,1127.5,99331.64486586225,0.0
2026-06-19,INFY.NS,99331.64486586225,0,1051.4000244140625,99331.64486586225,0.0
